var_id,tag_name,story_id,psr_idx,psr_style,is_footnote,text,permission
C_000487,story_02_ch02_rt02,u10a9,126,01 本文,False,「私も、経営企画の若い子たちについては、気持ちが揺らいでいないか、それとなく目を配ってはいますが・・・」 と言いながら、少し考え込む西郷。,TEXT_ONLY_REPLACE
C_000488,story_02_ch02_rt02,u10a9,127,01-03 項 見出し,False,組織的なリテンション作戦,TEXT_ONLY_REPLACE
C_000489,story_02_ch02_rt02,u10a9,128,01 本文,False,「そうだ！」,TEXT_ONLY_REPLACE
C_000490,story_02_ch02_rt02,u10a9,129,01 本文,False,西郷は、何かアイディアを思いついたようだ。,TEXT_ONLY_REPLACE
C_000491,story_02_ch02_rt02,u10a9,130,01 本文,False,「鍵となる人材のリテンションを、かつての上司部下関係も有効に使って、部署横断で、皆で手分けして組織的にやりませんか？  若手の場合は、彼らと年齢が近い人のほうが話しやすいかもしれません。 多層的にリテンションを働きかけると、より効果的だと思います」,TEXT_ONLY_REPLACE
C_000492,story_02_ch02_rt02,u10a9,131,01 本文,False,少し考え込む寺田社長。,TEXT_ONLY_REPLACE
C_000493,story_02_ch02_rt02,u10a9,132,01 本文,False,そして、うなずきながら、 「そうだね・・・と言うか、むしろもっと早くとりかかっておくべきだったかもしれない。 でも、今からでもまだ遅くない。 西郷さん、早速すまないけど、対象者とリテンション担当表のようなものを作れる？」 と、西郷の提案に賛同する。,TEXT_ONLY_REPLACE
C_000494,story_02_ch02_rt02,u10a9,133,01 本文,False,「はい、もちろんです」,TEXT_ONLY_REPLACE
C_000495,story_02_ch02_rt02,u10a9,134,01 本文,False,二人は、社員たちの顔を思い浮かべている。,TEXT_ONLY_REPLACE
C_000496,story_02_ch02_rt02,u10a9,135,01 本文,False,「あっ、そうそう。日下部さんから、ウチは、 『出戻りを受け入れているか？』 って聞かれた」 と日下部代表パートナーの話に戻る寺田社長。,TEXT_ONLY_REPLACE
C_000497,story_02_ch02_rt02,u10a9,136,01 本文,False,「出戻りですか・・・これまでは、受け入れていませんよね」,TEXT_ONLY_REPLACE
C_000498,story_02_ch02_rt02,u10a9,137,01 本文,False,「今後、ミツカネブランドを使えなくなると、ブランドで採用できていた部分が剥げ落ちてしまう。だから、 『出戻りは、貴重な採用ルートになる』 って言われた」,TEXT_ONLY_REPLACE
